#,Country,iso_code,Total_Cases,"New
Cases","Total
Deaths","New
Deaths","Total
Recovered","Active
Cases","Serious
Critical","Tot Cases/
1M pop","Deaths/
1M pop","Total
Tests","Tests/
1M pop",Population
131,Mayotte,MYT,20176.0,,171,,2964,17041,6,72383,613,176919,634712,278739
15,Mexico,MEX,2408778.0,3056,223068,411,1923744,261966,4798,18507,1714,7017606,53916,130157316
222,Micronesia,FSM,1.0,,,,1,0,,9,,,,116113
68,Moldova,MDA,255060.0,,6097,,247240,1723,96,63362,1515,1098233,272822,4025458
181,Monaco,MCO,2503.0,,32,,2463,8,2,63377,810,51953,1315466,39494
107,Mongolia,MNG,56621.0,769,268,5,49320,7033,99,17024,81,2917095,877076,3325930
94,Montenegro,MNE,99518.0,,1580,,97010,928,60,158433,2515,410104,652888,628138
214,Montserrat,MSR,20.0,,1,,19,0,,4004,200,1408,281882,4995
43,Morocco,MAR,518458.0,,9135,,506443,2880,96,13897,245,6470594,173447,37305888
102,Mozambique,MOZ,70697.0,,835,,69232,630,18,2206,26,551014,17196,32042494
217,MS Zaandam,MSZ,9.0,,2,,7,0,,,,,,
84,Myanmar,MMR,143486.0,,3216,,132279,7991,,2621,59,2617696,47821,54739902
108,Namibia,NAM,54268.0,,807,,50053,3408,51,21015,312,428907,166088,2582402
41,Nepal,NPL,549111.0,,7047,,428670,113394,,18545,238,3017377,101906,29609424
21,Netherlands,NLD,1641318.0,,17607,,1463716,159995,516,95597,1025,13797380,803611,17169226
206,New Caledonia,NCL,128.0,,,,58,70,,444,,33057,114789,287980
180,New Zealand,NZL,2670.0,,26,,2623,21,,534,5,2126807,425183,5002100
159,Nicaragua,NIC,7324.0,,186,,4225,2913,,1094,28,,,6695772
167,Niger,NER,5406.0,,192,,5071,143,2,216,8,106712,4270,24992008
81,Nigeria,NGA,166254.0,,2071,,156546,7637,11,789,10,2093243,9933,210736813
82,North Macedonia,NMD,155217.0,,5387,,147381,2449,25,74505,2586,788300,378391,2083296
91,Norway,NOR,124410.0,,783,,88952,34675,18,22787,143,5635246,1032173,5459592
76,Oman,OMN,213784.0,,2303,,197080,14401,239,40928,441,1550000,296738,5223461
29,Pakistan,PAK,916239.0,2455,20680,73,836702,58857,4083,4077,92,13113393,58344,224758649
59,Palestine,PSE,307569.0,,3489,,300125,3955,45,59055,670,1817835,349035,5208175
51,Panama,PAN,376854.0,,6365,,364297,6192,105,86117,1455,2632922,601664,4376067
137,Papua New Guinea,PNG,15772.0,225,162,,14857,753,,1733,18,112995,12417,9099821
54,Paraguay,PRY,348184.0,,8892,,286005,53287,594,48280,1233,1274748,176761,7211696
17,Peru,PER,1947555.0,,68978,,1720665,157912,2687,58333,2066,12733231,381387,33386618
24,Philippines,PHL,1209154.0,,20566,,1134818,53770,1704,10903,185,13253027,119506,110898404
14,Poland,POL,2870595.0,,73557,,2634711,162327,805,75924,1945,15765052,416965,37809020
30,Portugal,PRT,847604.0,,17023,,808047,22534,52,83346,1674,11648463,1145405,10169734
75,Qatar,QAT,216885.0,,552,,212379,3954,137,77244,197,2012989,716926,2807805
125,Réunion,REU,24901.0,,189,,22796,1916,35,27634,210,102720,113995,901094
26,Romania,ROU,1077161.0,,30174,,1037729,9258,459,56333,1578,9005349,470963,19121151
6,Russia,RUS,5044459.0,,120406,,4661234,262819,2300,34553,825,137100000,939098,145991189
124,Rwanda,RWA,26878.0,,352,,25542,984,3,2030,27,1431829,108135,13241114
85,S. Korea,RSK,139431.0,533,1951,5,129739,7741,160,2717,38,9733591,189705,51309179
221,Saint Helena,SHN,2.0,,,,2,0,,328,,,,6093
208,Saint Kitts and Nevis,KNA,68.0,,,,45,23,,1270,,16036,299520,53539
169,Saint Lucia,LCA,5035.0,,77,,4772,186,1,27307,418,45904,248955,184387
188,Saint Martin,MAF,1915.0,,12,,1399,504,7,48776,306,27588,702682,39261
213,Saint Pierre Miquelon,SPM,25.0,,,,25,0,,4334,,5736,994452,5768
220,Samoa,WSM,3.0,,,,3,0,,15,,,,199607
168,San Marino,SMR,5089.0,,90,,4995,4,4,149694,2647,65149,1916373,33996
185,Sao Tome and Principe,STP,2344.0,,37,,2288,19,,10519,166,13418,60217,222829
44,Saudi Arabia,SAU,447178.0,,7320,,429663,10195,1355,12667,207,18968030,537289,35303214
113,Senegal,SEN,41296.0,,1138,,39932,226,4,2409,66,514043,29990,17140741
36,Serbia,SRB,711772.0,,6834,,693585,11353,59,81762,785,4128117,474200,8705431
153,Seychelles,SYC,11145.0,,40,,9936,1169,,112692,404,21504,217436,98898
173,Sierra Leone,SLE,4140.0,,79,,3128,933,,510,10,153257,18867,8123165
105,Singapore,SGP,61970.0,,32,,61407,531,3,10518,5,11470986,1946885,5891968
183,Sint Maarten,SXM,2411.0,,28,,2307,76,2,55661,646,28642,661234,43316
49,Slovakia,SVK,389440.0,,12333,,374829,2278,102,71299,2258,2821167,516504,5462039
69,Slovenia,SVN,253140.0,,4370,,244153,4617,79,121749,2102,1271894,611724,2079197
215,Solomon Islands,SLB,20.0,,,,20,0,,28,,4500,6410,702042
138,Somalia,SOM,14647.0,,768,,6717,7162,,899,47,129762,7965,16291776
20,South Africa,ZAF,1654551.0,,56293,,1551520,46738,546,27583,938,11535429,192308,59984227
156,South Sudan,SSD,10688.0,,115,,10514,59,,945,10,164472,14539,11312317
11,Spain,ESP,3668658.0,,79905,,3424911,163842,1426,78438,1708,49708830,1062809,46771195
79,Sri Lanka,LKA,177711.0,,1363,,146362,29986,,8268,63,3393033,157855,21494560
195,St. Barth,STB,1005.0,,1,,462,542,,101474,101,26385,2664075,9904
187,St. Vincent Grenadines,SVG,2014.0,,12,,1831,171,2,18102,108,48665,437403,111259
116,Sudan,SDN,35289.0,,2600,,27949,4740,,788,58,232965,5203,44770925
139,Suriname,SUR,14305.0,,282,,11333,2690,35,24189,477,61479,103957,591386
27,Sweden,SWE,1068473.0,,14413,,953133,100927,214,105203,1419,9762557,961235,10156264
37,Switzerland,CHE,693023.0,,10801,,645322,36900,134,79549,1240,7630534,875876,8711891
126,Syria,SYR,24410.0,,1758,,21588,1064,,1365,98,103566,5791,17883253
160,Taiwan,TWN,7315.0,,78,,1133,6104,,307,3,610865,25607,23855839
145,Tajikistan,TJK,13308.0,,90,,13218,0,,1368,9,,,9730552
199,Tanzania,TZA,509.0,,21,,183,305,7,8,0.3,,,61263235
83,Thailand,THA,149779.0,4803,988,34,102311,46480,1169,2141,14,8124896,116139,69958669
163,Timor-Leste,TLS,6622.0,,15,,3915,2692,,4938,11,92122,68692,1341084
143,Togo,TG0,13432.0,,125,,12644,663,,1589,15,332536,39338,8453390
130,Trinidad and Tobago,TT0,22620.0,,458,,12970,9192,22,16116,326,178294,127027,1403593
55,Tunisia,TUN,341952.0,,12513,,299771,29668,408,28662,1049,1460480,122417,11930414
5,Turkey,TUR,5228322.0,,47134,,5083099,98089,1454,61395,553,53478278,627979,85159401
184,Turks and Caicos,TCA,2411.0,,17,,2380,14,2,61521,434,83422,2128655,39190
39,UAE,ARE,565451.0,,1668,,545229,18554,,56554,167,49701568,4970965,9998375
112,Uganda,UGA,45231.0,,361,,43401,1469,24,962,8,1095468,23289,47037792
7,UK,GBR,4477705.0,,127768,,4284613,65324,120,65647,1873,181453219,2660258,68208871
16,Ukraine,UKR,2196673.0,,50232,,2020216,126225,177,50504,1155,10105901,232345,43495200
62,Uruguay,URY,282198.0,,4118,,242661,35419,542,80984,1182,2196594,630366,3484635
1,USA,USA,34022657.0,,608961,,27767040,5646656,6524,102244,1830,478141417,1436897,332759663
93,Uzbekistan,UZB,99580.0,,687,,95250,3643,23,2937,20,1377915,40638,33907148
218,Vanuatu,VUT,4.0,,1,,3,0,,13,3,23000,73340,313606
212,Vatican City,VTC,27.0,,,,27,0,,33624,,,,803
73,Venezuela,VEN,230147.0,,2595,,212199,15353,316,8114,91,3359014,118430,28362841
165,Vietnam,VNM,6570.0,,47,,2896,3627,,67,0.5,4337689,44203,98130662
200,Wallis and Futuna,WLF,445.0,,7,,438,0,,40235,633,19209,1736799,11060
216,Western Sahara,ESH,10.0,,1,,8,1,,16,2,,,610555
162,Yemen,YEM,6723.0,,1316,,3375,2032,23,221,43,62990,2071,30417585
95,Zambia,ZMB,94430.0,,1275,,91443,1712,82,5010,68,1538730,81644,18846714
115,Zimbabwe,ZWE,38918.0,,1592,,36563,763,1,2584,106,469122,31154,15058267
